latency	frequency	cdf
0.1	0	0
0.2	0.007407407	0
0.3	0.078867102	0
0.4	0.138997821	0.007407407
0.5	0.138997821	0.036601307
0.6	0.079302832	0.08627451
0.7	0.054466231	0.149455338
0.8	0.040958606	0.225272331
0.9	0.030065359	0.297167756
1	0.022657952	0.364270153
1.1	0.015686275	0.410021786
1.2	0.010893246	0.443572985
1.3	0.012636166	0.474945534
1.4	0.006971678	0.498039216
1.5	0.007843137	0.518954248
1.6	0.009586057	0.538997821
1.7	0.010457516	0.555119826
1.8	0.009586057	0.569063181
1.9	0.009150327	0.581263617
2	0.008714597	0.591721133
2.1	0.008714597	0.59869281
2.2	0.009150327	0.607407407
2.3	0.008278867	0.613943355
2.4	0.008278867	0.618300654
2.5	0.004793028	0.623965142
2.6	0.005664488	0.630936819
2.7	0.007407407	0.637037037
2.8	0.006971678	0.637908497
2.9	0.007843137	0.642265795
3	0.007843137	0.645751634
3.1	0.004357298	0.650980392
3.2	0.006100218	0.655337691
3.3	0.006971678	0.659694989
3.4	0.005228758	0.665795207
3.5	0.008278867	0.671023965
3.6	0.008714597	0.675381264
3.7	0.004357298	0.679738562
3.8	0.007843137	0.68453159
3.9	0.005228758	0.688453159
4	0.003050109	0.693246187
4.1	0.007407407	0.696732026
4.2	0.005228758	0.701960784
4.3	0.009150327	0.705446623
4.4	0.004357298	0.711111111
4.5	0.008278867	0.71459695
4.6	0.005664488	0.719389978
4.7	0.006971678	0.723311547
4.8	0.004357298	0.727668845
4.9	0.005228758	0.729847495
5	0.004793028	0.732461874
5.1	0.004357298	0.735511983
5.2	0.006971678	0.738126362
5.3	0.002178649	0.74248366
5.4	0.003921569	0.745533769
5.5	0.002614379	0.747712418
5.6	0.003485839	0.752505447
5.7	0.003921569	0.757298475
5.8	0.00130719	0.760348584
5.9	0.003050109	0.764270153
6	0.001742919	0.768191721
6.1	0.00087146	0.7708061
6.2	0.002178649	0.77254902
6.3	0.00087146	0.776034858
6.4	0.00087146	0.778649237
6.5	0.001742919	0.782570806
6.6	0.00130719	0.785620915
6.7	0.002178649	0.787799564
6.8	0.00130719	0.790849673
6.9	0.001742919	0.794335512
7	0.003050109	0.79912854
7.1	0.001742919	0.803050109
7.2	0.002614379	0.807843137
7.3	0.00130719	0.809586057
7.4	0.002614379	0.812200436
7.5	0.001742919	0.815250545
7.6	0.003485839	0.820043573
7.7	0.002614379	0.821786492
7.8	0	0.825272331
7.9	0.001742919	0.826143791
8	0.002178649	0.82832244
8.1	0.002614379	0.833115468
8.2	0.002178649	0.835729847
8.3	0.001742919	0.839651416
8.4	0.002178649	0.840958606
8.5	0	0.844880174
8.6	0	0.850108932
8.7	0.003050109	0.851851852
8.8	0.002178649	0.854466231
8.9	0.00130719	0.8583878
9	0.00130719	0.862745098
9.1	0.001742919	0.866230937
9.2	0.00130719	0.868409586
9.3	0.002614379	0.871459695
9.4	0.001742919	0.875381264
9.5	0.001742919	0.876252723
9.6	0.002178649	0.879738562
9.7	0.00130719	0.881481481
9.8	0.00130719	0.88496732
9.9	0.00130719	0.88627451
10	0.002178649	0.889760349
10.1	0	0.892810458
10.2	0.00043573	0.894117647
10.3	0.00043573	0.898039216
10.4	0.00043573	0.901089325
10.5	0	0.901960784
10.6	0.00043573	0.903267974
